FrameID,Type,PacketRatio(%),FwdRef,BwdRef,RefStatus,EffectiveRatio(%),Latency(ms),WithinDeadline,FirstArrival(sec),LastArrival(sec)
119,P,83.3,117,-1,FWD_LOST,0.0,502.32,NO,7.4107,7.4393
120,I,60.0,-1,-1,N/A,60.0,503.50,NO,7.4735,7.4735
121,B,60.0,120,123,BOTH_LOST,0.0,470.50,NO,7.4735,7.4735
122,B,60.0,120,123,BOTH_LOST,0.0,502.08,NO,7.5097,7.5381
123,P,60.0,120,-1,FWD_LOST,0.0,503.93,NO,7.5729,7.5729
124,B,80.0,123,126,BOTH_LOST,0.0,484.60,NO,7.5729,7.5866
125,B,40.0,123,126,BOTH_LOST,0.0,502.85,NO,7.6379,7.6379
126,P,70.0,123,-1,FWD_LOST,0.0,504.35,NO,7.6723,7.6723
127,B,80.0,126,129,BOTH_LOST,0.0,501.65,NO,7.6723,7.7027
128,B,60.0,126,129,BOTH_LOST,0.0,502.83,NO,7.7027,7.7368
129,P,80.0,126,-1,FWD_LOST,0.0,503.87,NO,7.7368,7.7709
130,B,100.0,129,132,BOTH_LOST,0.0,470.87,NO,7.7709,7.7709
131,B,80.0,129,132,BOTH_LOST,0.0,502.02,NO,7.7709,7.8350
132,P,83.3,129,-1,FWD_LOST,0.0,502.88,NO,7.8350,7.8689
133,B,100.0,132,135,BOTH_LOST,0.0,481.50,NO,7.8689,7.8805
134,B,60.0,132,135,BOTH_LOST,0.0,448.50,NO,7.8805,7.8805
135,P,83.3,132,-1,FWD_LOST,0.0,502.44,NO,7.9334,7.9674
136,B,60.0,135,138,BOTH_LOST,0.0,505.72,NO,7.9674,8.0037
137,B,80.0,135,138,BOTH_LOST,0.0,501.51,NO,8.0037,8.0325
138,P,86.7,135,-1,FWD_LOST,0.0,502.79,NO,8.0325,8.0668
139,B,100.0,138,141,BOTH_LOST,0.0,469.79,NO,8.0668,8.0668
140,B,100.0,138,141,BOTH_LOST,0.0,465.38,NO,8.0668,8.0954
141,P,76.7,138,-1,FWD_LOST,0.0,502.28,NO,8.1259,8.1653
142,B,80.0,141,144,BOTH_LOST,0.0,505.17,NO,8.1653,8.2012
143,B,80.0,141,144,BOTH_LOST,0.0,472.17,NO,8.2012,8.2012
144,P,90.0,141,-1,FWD_LOST,0.0,502.17,NO,8.2352,8.2642
145,B,80.0,144,147,BOTH_LOST,0.0,503.24,NO,8.2642,8.2982
146,B,100.0,144,147,BOTH_LOST,0.0,478.42,NO,8.2982,8.3064
147,P,86.7,144,-1,FWD_LOST,0.0,502.14,NO,8.3064,8.3631
148,B,100.0,147,150,BOTH_LOST,0.0,469.14,NO,8.3631,8.3631
149,B,80.0,147,150,BOTH_LOST,0.0,505.88,NO,8.3631,8.4329
150,P,86.7,147,-1,FWD_LOST,0.0,506.81,NO,8.4329,8.4668
151,B,40.0,150,153,BOTH_LOST,0.0,502.09,NO,8.4668,8.4951
152,B,80.0,150,153,BOTH_LOST,0.0,505.27,NO,8.5313,8.5313
153,P,80.0,150,-1,FWD_LOST,0.0,506.12,NO,8.5651,8.5651
154,B,80.0,153,156,BOTH_LOST,0.0,501.61,NO,8.5651,8.5936
155,B,100.0,153,156,BOTH_LOST,0.0,468.61,NO,8.5936,8.5936
156,P,90.0,153,-1,FWD_LOST,0.0,505.18,NO,8.5936,8.6632
157,B,80.0,156,159,BOTH_LOST,0.0,472.18,NO,8.6632,8.6632
158,B,80.0,156,159,BOTH_LOST,0.0,503.43,NO,8.6972,8.7274
159,P,90.0,156,-1,FWD_LOST,0.0,504.88,NO,8.7619,8.7619
160,B,80.0,159,162,BOTH_LOST,0.0,505.97,NO,8.7619,8.7960
161,B,80.0,159,162,BOTH_LOST,0.0,503.40,NO,8.8264,8.8264
162,P,83.3,159,-1,FWD_LOST,0.0,504.53,NO,8.8264,8.8605
163,B,80.0,162,165,BOTH_LOST,0.0,506.23,NO,8.8605,8.8952
164,B,80.0,162,165,BOTH_LOST,0.0,503.52,NO,8.8952,8.9255
165,P,90.0,162,-1,FWD_LOST,0.0,504.66,NO,8.9597,8.9597
166,B,80.0,165,168,BOTH_LOST,0.0,471.66,NO,8.9597,8.9597
167,B,100.0,165,168,BOTH_LOST,0.0,472.60,NO,8.9936,8.9936
168,P,76.7,165,-1,FWD_LOST,0.0,504.17,NO,8.9936,9.0582
169,B,100.0,168,171,BOTH_LOST,0.0,471.17,NO,9.0582,9.0582
170,B,80.0,168,171,BOTH_LOST,0.0,438.17,NO,9.0582,9.0582
171,P,90.0,168,-1,FWD_LOST,0.0,503.52,NO,9.1282,9.1565
172,B,60.0,171,174,BOTH_LOST,0.0,504.42,NO,9.1565,9.1904
173,B,100.0,171,174,BOTH_LOST,0.0,471.42,NO,9.1904,9.1904
174,P,86.7,171,-1,FWD_LOST,0.0,502.80,NO,9.1904,9.2548
175,B,80.0,174,177,BOTH_LOST,0.0,469.80,NO,9.2548,9.2548
176,B,80.0,174,177,BOTH_LOST,0.0,504.74,NO,9.2889,9.3227
177,P,76.7,174,-1,FWD_LOST,0.0,502.47,NO,9.3535,9.3535
178,B,100.0,177,180,BOTH_LOST,0.0,480.94,NO,9.3535,9.3649
179,P,80.0,177,-1,FWD_LOST,0.0,504.75,NO,9.3649,9.4217
180,I,74.0,-1,-1,N/A,74.0,502.14,NO,9.4217,9.4521
181,B,80.0,180,183,BOTH_LOST,0.0,503.16,NO,9.4521,9.4862
182,B,60.0,180,183,BOTH_LOST,0.0,504.16,NO,9.5202,9.5202
183,P,70.0,180,-1,FWD_LOST,0.0,501.49,NO,9.5505,9.5505
184,B,100.0,183,186,BOTH_LOST,0.0,468.49,NO,9.5505,9.5505
185,B,60.0,183,186,BOTH_LOST,0.0,504.11,NO,9.6191,9.6191
186,P,83.3,183,-1,FWD_LOST,0.0,501.48,NO,9.6191,9.6495
187,B,80.0,186,189,BOTH_LOST,0.0,491.27,NO,9.6723,9.6723
188,B,60.0,186,189,BOTH_LOST,0.0,503.45,NO,9.6894,9.7175
189,P,86.7,186,-1,FWD_LOST,0.0,506.70,NO,9.7175,9.7537
190,B,100.0,189,192,BOTH_LOST,0.0,473.70,NO,9.7537,9.7537
191,B,100.0,189,192,BOTH_LOST,0.0,469.55,NO,9.7537,9.7826
192,P,73.3,189,-1,FWD_LOST,0.0,506.29,NO,9.7826,9.8523
193,B,100.0,192,195,BOTH_LOST,0.0,473.29,NO,9.8523,9.8523
194,B,100.0,192,195,BOTH_LOST,0.0,440.29,NO,9.8523,9.8523
195,P,83.3,192,-1,FWD_LOST,0.0,504.97,NO,9.8523,9.9500
196,B,100.0,195,198,FWD_LOST,0.0,471.97,NO,9.9500,9.9500
197,B,20.0,195,198,FWD_LOST,0.0,438.97,NO,9.9500,9.9500
