PhyRxTime,FrameID,FrameType,PacketIndex,TID,AccessCategory,IsAMPDU,AMPDURefNum
3.17709,5,B,1,3,AC BE,YES,15
3.17709,5,B,2,3,AC BE,YES,15
3.17709,5,B,3,3,AC BE,YES,15
3.17709,5,B,4,3,AC BE,YES,15
3.20925,6,P,0,3,AC BE,YES,16
3.21409,6,P,1,3,AC BE,YES,17
3.21409,6,P,2,3,AC BE,YES,17
3.21409,6,P,3,3,AC BE,YES,17
3.21409,6,P,4,3,AC BE,YES,17
3.21409,6,P,5,3,AC BE,YES,17
3.21409,6,P,6,3,AC BE,YES,17
3.21409,6,P,7,3,AC BE,YES,17
3.21409,6,P,8,3,AC BE,YES,17
3.21409,6,P,9,3,AC BE,YES,17
3.21409,6,P,10,3,AC BE,YES,17
3.21409,6,P,11,3,AC BE,YES,17
3.21409,6,P,12,3,AC BE,YES,17
3.21409,6,P,13,3,AC BE,YES,17
3.21409,6,P,14,3,AC BE,YES,17
3.21409,6,P,15,3,AC BE,YES,17
3.21409,6,P,16,3,AC BE,YES,17
3.21409,6,P,17,3,AC BE,YES,17
3.21409,6,P,18,3,AC BE,YES,17
3.21409,6,P,19,3,AC BE,YES,17
3.21409,6,P,20,3,AC BE,YES,17
3.21409,6,P,21,3,AC BE,YES,17
3.21409,6,P,22,3,AC BE,YES,17
3.21409,6,P,23,3,AC BE,YES,17
3.21409,6,P,24,3,AC BE,YES,17
3.21409,6,P,25,3,AC BE,YES,17
3.21409,6,P,26,3,AC BE,YES,17
3.21409,6,P,27,3,AC BE,YES,17
3.21409,6,P,28,3,AC BE,YES,17
3.21409,6,P,29,3,AC BE,YES,17
3.24225,7,B,0,3,AC BE,YES,18
3.24312,7,B,1,3,AC BE,YES,19
3.24312,7,B,2,3,AC BE,YES,19
3.24312,7,B,3,3,AC BE,YES,19
3.24312,7,B,4,3,AC BE,YES,19
3.27525,8,B,0,3,AC BE,YES,20
3.27605,8,B,1,3,AC BE,YES,21
3.27605,8,B,2,3,AC BE,YES,21
3.27605,8,B,3,3,AC BE,YES,21
3.27605,8,B,4,3,AC BE,YES,21
3.30825,9,P,0,3,AC BE,YES,22
3.31316,9,P,1,3,AC BE,YES,23
3.31316,9,P,2,3,AC BE,YES,23
3.31316,9,P,3,3,AC BE,YES,23
3.31316,9,P,4,3,AC BE,YES,23
3.31316,9,P,5,3,AC BE,YES,23
3.31316,9,P,6,3,AC BE,YES,23
3.31316,9,P,7,3,AC BE,YES,23
3.31316,9,P,8,3,AC BE,YES,23
3.31316,9,P,9,3,AC BE,YES,23
3.31316,9,P,10,3,AC BE,YES,23
3.31316,9,P,11,3,AC BE,YES,23
3.31316,9,P,12,3,AC BE,YES,23
3.31316,9,P,13,3,AC BE,YES,23
3.31316,9,P,14,3,AC BE,YES,23
3.31316,9,P,15,3,AC BE,YES,23
3.31316,9,P,16,3,AC BE,YES,23
3.31316,9,P,17,3,AC BE,YES,23
3.31316,9,P,18,3,AC BE,YES,23
3.31316,9,P,19,3,AC BE,YES,23
3.31316,9,P,20,3,AC BE,YES,23
3.31316,9,P,21,3,AC BE,YES,23
3.31316,9,P,22,3,AC BE,YES,23
3.31316,9,P,23,3,AC BE,YES,23
3.31316,9,P,24,3,AC BE,YES,23
3.31316,9,P,25,3,AC BE,YES,23
3.31316,9,P,26,3,AC BE,YES,23
3.31316,9,P,27,3,AC BE,YES,23
3.31316,9,P,28,3,AC BE,YES,23
3.31316,9,P,29,3,AC BE,YES,23
3.34125,10,B,0,3,AC BE,YES,24
3.34216,10,B,1,3,AC BE,YES,25
3.34216,10,B,2,3,AC BE,YES,25
3.34216,10,B,3,3,AC BE,YES,25
3.34216,10,B,4,3,AC BE,YES,25
3.37424,11,B,0,3,AC BE,YES,26
3.37507,11,B,1,3,AC BE,YES,27
3.37507,11,B,2,3,AC BE,YES,27
3.37507,11,B,3,3,AC BE,YES,27
3.37507,11,B,4,3,AC BE,YES,27
3.40725,12,P,0,3,AC BE,YES,28
3.41217,12,P,1,3,AC BE,YES,29
3.41217,12,P,2,3,AC BE,YES,29
3.41217,12,P,3,3,AC BE,YES,29
3.41217,12,P,4,3,AC BE,YES,29
3.41217,12,P,5,3,AC BE,YES,29
3.41217,12,P,6,3,AC BE,YES,29
3.41217,12,P,7,3,AC BE,YES,29
3.41217,12,P,8,3,AC BE,YES,29
3.41217,12,P,9,3,AC BE,YES,29
3.41217,12,P,10,3,AC BE,YES,29
3.41217,12,P,11,3,AC BE,YES,29
3.41217,12,P,12,3,AC BE,YES,29
3.41217,12,P,13,3,AC BE,YES,29
3.41217,12,P,14,3,AC BE,YES,29
3.41217,12,P,15,3,AC BE,YES,29
3.41217,12,P,16,3,AC BE,YES,29
3.41217,12,P,17,3,AC BE,YES,29
3.41217,12,P,18,3,AC BE,YES,29
3.41217,12,P,19,3,AC BE,YES,29
3.41217,12,P,20,3,AC BE,YES,29
3.41217,12,P,21,3,AC BE,YES,29
3.41217,12,P,22,3,AC BE,YES,29
3.41217,12,P,23,3,AC BE,YES,29
3.41217,12,P,24,3,AC BE,YES,29
3.41217,12,P,25,3,AC BE,YES,29
3.41217,12,P,26,3,AC BE,YES,29
3.41217,12,P,27,3,AC BE,YES,29
3.41217,12,P,28,3,AC BE,YES,29
3.41217,12,P,29,3,AC BE,YES,29
3.44024,13,B,0,3,AC BE,YES,30
3.44105,13,B,1,3,AC BE,YES,31
3.44105,13,B,2,3,AC BE,YES,31
3.44105,13,B,3,3,AC BE,YES,31
3.44105,13,B,4,3,AC BE,YES,31
3.47324,14,B,0,3,AC BE,YES,32
3.47403,14,B,1,3,AC BE,YES,33
3.47403,14,B,2,3,AC BE,YES,33
3.47403,14,B,3,3,AC BE,YES,33
3.47403,14,B,4,3,AC BE,YES,33
3.50624,15,P,0,3,AC BE,YES,34
3.5109,15,P,1,3,AC BE,YES,35
3.5109,15,P,2,3,AC BE,YES,35
3.5109,15,P,3,3,AC BE,YES,35
3.5109,15,P,4,3,AC BE,YES,35
3.5109,15,P,5,3,AC BE,YES,35
3.5109,15,P,6,3,AC BE,YES,35
3.5109,15,P,7,3,AC BE,YES,35
3.5109,15,P,8,3,AC BE,YES,35
3.5109,15,P,9,3,AC BE,YES,35
3.5109,15,P,10,3,AC BE,YES,35
3.5109,15,P,11,3,AC BE,YES,35
3.5109,15,P,12,3,AC BE,YES,35
3.5109,15,P,13,3,AC BE,YES,35
3.5109,15,P,14,3,AC BE,YES,35
3.5109,15,P,15,3,AC BE,YES,35
3.5109,15,P,16,3,AC BE,YES,35
3.5109,15,P,17,3,AC BE,YES,35
3.5109,15,P,18,3,AC BE,YES,35
3.5109,15,P,19,3,AC BE,YES,35
3.5109,15,P,20,3,AC BE,YES,35
3.5109,15,P,21,3,AC BE,YES,35
3.5109,15,P,22,3,AC BE,YES,35
3.5109,15,P,23,3,AC BE,YES,35
3.5109,15,P,24,3,AC BE,YES,35
3.5109,15,P,25,3,AC BE,YES,35
3.5109,15,P,26,3,AC BE,YES,35
3.5109,15,P,27,3,AC BE,YES,35
3.5109,15,P,28,3,AC BE,YES,35
3.51126,15,P,29,3,AC BE,YES,36
3.53925,16,B,0,3,AC BE,YES,37
3.54005,16,B,1,3,AC BE,YES,38
3.54005,16,B,2,3,AC BE,YES,38
3.54005,16,B,3,3,AC BE,YES,38
3.54005,16,B,4,3,AC BE,YES,38
3.57225,17,B,0,3,AC BE,YES,39
3.5731,17,B,1,3,AC BE,YES,40
3.5731,17,B,2,3,AC BE,YES,40
3.5731,17,B,3,3,AC BE,YES,40
3.5731,17,B,4,3,AC BE,YES,40
3.60525,18,P,0,3,AC BE,YES,41
3.61008,18,P,1,3,AC BE,YES,42
3.61008,18,P,2,3,AC BE,YES,42
3.61008,18,P,3,3,AC BE,YES,42
3.61008,18,P,4,3,AC BE,YES,42
3.61008,18,P,5,3,AC BE,YES,42
3.61008,18,P,6,3,AC BE,YES,42
3.61008,18,P,7,3,AC BE,YES,42
3.61008,18,P,8,3,AC BE,YES,42
3.61008,18,P,9,3,AC BE,YES,42
3.61008,18,P,10,3,AC BE,YES,42
3.61008,18,P,11,3,AC BE,YES,42
3.61008,18,P,12,3,AC BE,YES,42
3.61008,18,P,13,3,AC BE,YES,42
3.61008,18,P,14,3,AC BE,YES,42
3.61008,18,P,15,3,AC BE,YES,42
3.61008,18,P,16,3,AC BE,YES,42
3.61008,18,P,17,3,AC BE,YES,42
3.61008,18,P,18,3,AC BE,YES,42
3.61008,18,P,19,3,AC BE,YES,42
3.61008,18,P,20,3,AC BE,YES,42
3.61008,18,P,21,3,AC BE,YES,42
3.61008,18,P,22,3,AC BE,YES,42
3.61008,18,P,23,3,AC BE,YES,42
3.61008,18,P,24,3,AC BE,YES,42
3.61008,18,P,25,3,AC BE,YES,42
3.61008,18,P,26,3,AC BE,YES,42
3.61008,18,P,27,3,AC BE,YES,42
3.61008,18,P,28,3,AC BE,YES,42
3.61008,18,P,29,3,AC BE,YES,42
3.63825,19,B,0,3,AC BE,YES,43
3.63916,19,B,1,3,AC BE,YES,44
3.63916,19,B,2,3,AC BE,YES,44
3.63916,19,B,3,3,AC BE,YES,44
3.63916,19,B,4,3,AC BE,YES,44
3.67125,20,B,0,3,AC BE,YES,45
3.67209,20,B,1,3,AC BE,YES,46
3.67209,20,B,2,3,AC BE,YES,46
3.67209,20,B,3,3,AC BE,YES,46
3.67209,20,B,4,3,AC BE,YES,46
3.70425,21,P,0,3,AC BE,YES,47
3.70907,21,P,1,3,AC BE,YES,48
3.70907,21,P,2,3,AC BE,YES,48
3.70907,21,P,3,3,AC BE,YES,48
3.70907,21,P,4,3,AC BE,YES,48
3.70907,21,P,5,3,AC BE,YES,48
3.70907,21,P,6,3,AC BE,YES,48
3.70907,21,P,7,3,AC BE,YES,48
3.70907,21,P,8,3,AC BE,YES,48
3.70907,21,P,9,3,AC BE,YES,48
3.70907,21,P,10,3,AC BE,YES,48
3.70907,21,P,11,3,AC BE,YES,48
3.70907,21,P,12,3,AC BE,YES,48
3.70907,21,P,13,3,AC BE,YES,48
3.70907,21,P,14,3,AC BE,YES,48
3.70907,21,P,15,3,AC BE,YES,48
3.70907,21,P,16,3,AC BE,YES,48
3.70907,21,P,17,3,AC BE,YES,48
3.70907,21,P,18,3,AC BE,YES,48
3.70907,21,P,19,3,AC BE,YES,48
3.70907,21,P,20,3,AC BE,YES,48
3.70907,21,P,21,3,AC BE,YES,48
3.70907,21,P,22,3,AC BE,YES,48
3.70907,21,P,23,3,AC BE,YES,48
3.70907,21,P,24,3,AC BE,YES,48
3.70907,21,P,25,3,AC BE,YES,48
3.70907,21,P,26,3,AC BE,YES,48
3.70907,21,P,27,3,AC BE,YES,48
3.70907,21,P,28,3,AC BE,YES,48
3.70907,21,P,29,3,AC BE,YES,48
3.73725,22,B,0,3,AC BE,YES,49
3.73816,22,B,1,3,AC BE,YES,50
3.73816,22,B,2,3,AC BE,YES,50
3.73816,22,B,3,3,AC BE,YES,50
3.73816,22,B,4,3,AC BE,YES,50
3.77024,23,B,0,3,AC BE,YES,51
3.77104,23,B,1,3,AC BE,YES,52
3.77104,23,B,2,3,AC BE,YES,52
3.77104,23,B,3,3,AC BE,YES,52
3.77104,23,B,4,3,AC BE,YES,52
3.80325,24,P,0,3,AC BE,YES,53
3.80813,24,P,1,3,AC BE,YES,54
