FrameID,Type,PacketRatio(%),FwdRef,BwdRef,RefStatus,EffectiveRatio(%),Latency(ms),WithinDeadline,FirstArrival(sec),LastArrival(sec)
106,B,100.0,105,108,OK,100.0,2.13,YES,6.5092,6.5101
107,B,100.0,105,108,OK,100.0,2.13,YES,6.5422,6.5431
108,P,100.0,105,-1,OK,100.0,6.14,YES,6.5752,6.5801
109,B,100.0,108,111,OK,100.0,2.05,YES,6.6082,6.6090
110,B,100.0,108,111,OK,100.0,2.04,YES,6.6412,6.6420
111,P,100.0,108,-1,OK,100.0,6.08,YES,6.6742,6.6791
112,B,100.0,111,114,OK,100.0,2.07,YES,6.7072,6.7081
113,B,100.0,111,114,OK,100.0,2.05,YES,6.7402,6.7410
114,P,100.0,111,-1,OK,100.0,6.18,YES,6.7732,6.7782
115,B,100.0,114,117,OK,100.0,2.18,YES,6.8063,6.8072
116,B,100.0,114,117,OK,100.0,2.13,YES,6.8392,6.8401
117,P,100.0,114,-1,OK,100.0,6.11,YES,6.8722,6.8771
118,B,100.0,117,120,OK,100.0,2.17,YES,6.9052,6.9062
119,P,100.0,117,-1,OK,100.0,6.17,YES,6.9382,6.9432
120,I,100.0,-1,-1,N/A,100.0,10.07,YES,6.9712,6.9801
121,B,100.0,120,123,OK,100.0,2.08,YES,7.0042,7.0051
122,B,100.0,120,123,OK,100.0,2.06,YES,7.0372,7.0381
123,P,100.0,120,-1,OK,100.0,6.14,YES,7.0702,7.0751
124,B,100.0,123,126,OK,100.0,2.07,YES,7.1032,7.1041
125,B,100.0,123,126,OK,100.0,2.13,YES,7.1362,7.1371
126,P,100.0,123,-1,OK,100.0,8.30,YES,7.1693,7.1763
127,B,100.0,126,129,OK,100.0,2.13,YES,7.2022,7.2031
128,B,100.0,126,129,OK,100.0,2.09,YES,7.2352,7.2361
129,P,100.0,126,-1,OK,100.0,6.16,YES,7.2682,7.2732
130,B,100.0,129,132,OK,100.0,2.10,YES,7.3012,7.3021
131,B,100.0,129,132,OK,100.0,2.07,YES,7.3343,7.3351
132,P,100.0,129,-1,OK,100.0,6.11,YES,7.3672,7.3721
133,B,100.0,132,135,OK,100.0,2.07,YES,7.4002,7.4011
134,B,100.0,132,135,OK,100.0,2.14,YES,7.4332,7.4341
135,P,100.0,132,-1,OK,100.0,6.08,YES,7.4662,7.4711
136,B,100.0,135,138,OK,100.0,2.17,YES,7.4992,7.5002
137,B,100.0,135,138,OK,100.0,2.06,YES,7.5322,7.5331
138,P,100.0,135,-1,OK,100.0,6.15,YES,7.5652,7.5701
139,B,100.0,138,141,OK,100.0,2.07,YES,7.5982,7.5991
140,B,100.0,138,141,OK,100.0,2.12,YES,7.6312,7.6321
141,P,100.0,138,-1,OK,100.0,6.26,YES,7.6642,7.6693
142,B,100.0,141,144,OK,100.0,2.09,YES,7.6972,7.6981
143,B,100.0,141,144,OK,100.0,2.03,YES,7.7302,7.7310
144,P,100.0,141,-1,OK,100.0,6.11,YES,7.7632,7.7681
145,B,100.0,144,147,OK,100.0,2.14,YES,7.7962,7.7971
146,B,100.0,144,147,OK,100.0,2.17,YES,7.8292,7.8302
147,P,100.0,144,-1,OK,100.0,6.12,YES,7.8622,7.8671
148,B,100.0,147,150,OK,100.0,2.14,YES,7.8953,7.8961
149,B,100.0,147,150,OK,100.0,2.07,YES,7.9282,7.9291
150,P,100.0,147,-1,OK,100.0,6.12,YES,7.9612,7.9661
151,B,100.0,150,153,OK,100.0,3.00,YES,7.9953,7.9960
152,B,100.0,150,153,OK,100.0,2.15,YES,8.0272,8.0281
153,P,100.0,150,-1,OK,100.0,6.07,YES,8.0602,8.0651
154,B,100.0,153,156,OK,100.0,2.11,YES,8.0932,8.0941
155,B,100.0,153,156,OK,100.0,2.11,YES,8.1262,8.1271
156,P,100.0,153,-1,OK,100.0,6.19,YES,8.1592,8.1642
157,B,100.0,156,159,OK,100.0,2.05,YES,8.1922,8.1930
158,B,100.0,156,159,OK,100.0,2.17,YES,8.2252,8.2262
159,P,100.0,156,-1,OK,100.0,6.08,YES,8.2582,8.2631
160,B,100.0,159,162,OK,100.0,2.05,YES,8.2912,8.2921
161,B,100.0,159,162,OK,100.0,2.05,YES,8.3242,8.3251
