PhyRxTime,FrameID,FrameType,PacketIndex,TID,AccessCategory,IsAMPDU,AMPDURefNum
3.82593,13,B,3,0,AC BE,YES,123
3.82593,15,P,15,0,AC BE,YES,123
3.82593,15,P,28,0,AC BE,YES,123
3.82593,17,B,3,0,AC BE,YES,123
3.82593,18,P,7,0,AC BE,YES,123
3.82593,18,P,20,0,AC BE,YES,123
3.82593,19,B,4,0,AC BE,YES,123
3.83161,15,P,3,0,AC BE,YES,124
3.83161,15,P,17,0,AC BE,YES,124
3.83161,18,P,21,0,AC BE,YES,124
3.83719,18,P,1,0,AC BE,YES,125
3.83719,19,B,3,0,AC BE,YES,125
3.83719,21,P,1,0,AC BE,YES,125
3.84283,20,B,4,0,AC BE,YES,126
3.85425,21,P,8,0,AC BE,YES,127
3.85989,18,P,18,0,AC BE,YES,128
3.86546,17,B,0,0,AC BE,YES,129
3.86546,21,P,9,0,AC BE,YES,129
3.8711,15,P,18,0,AC BE,YES,130
3.8711,18,P,28,0,AC BE,YES,130
3.8711,21,P,4,0,AC BE,YES,130
3.8711,21,P,13,0,AC BE,YES,130
3.87675,17,B,2,0,AC BE,YES,131
3.87675,18,P,15,0,AC BE,YES,131
3.87675,19,B,0,0,AC BE,YES,131
3.88238,21,P,0,0,AC BE,YES,132
3.88807,20,B,2,0,AC BE,YES,133
3.88807,20,B,3,0,AC BE,YES,133
3.89375,20,B,0,0,AC BE,YES,134
3.89932,18,P,29,0,AC BE,YES,135
3.89932,21,P,21,0,AC BE,YES,135
3.90695,15,P,27,0,AC BE,YES,136
3.90695,21,P,10,0,AC BE,YES,136
3.91258,18,P,3,0,AC BE,YES,137
3.91258,21,P,24,0,AC BE,YES,137
3.91843,18,P,26,0,AC BE,YES,138
3.91843,20,B,1,0,AC BE,YES,138
3.92402,18,P,27,0,AC BE,YES,139
3.92402,21,P,25,0,AC BE,YES,139
3.92402,22,B,3,0,AC BE,YES,139
3.93538,18,P,12,0,AC BE,YES,140
3.93538,21,P,3,0,AC BE,YES,140
3.93538,21,P,5,0,AC BE,YES,140
3.93538,21,P,26,0,AC BE,YES,140
3.93538,21,P,28,0,AC BE,YES,140
3.94105,18,P,25,0,AC BE,YES,141
3.94105,22,B,0,0,AC BE,YES,141
3.94105,24,P,3,0,AC BE,YES,141
3.95248,21,P,14,0,AC BE,YES,142
3.95815,21,P,11,0,AC BE,YES,143
3.95815,21,P,22,0,AC BE,YES,143
3.95815,24,P,4,0,AC BE,YES,143
3.96377,24,P,2,0,AC BE,YES,144
3.96377,24,P,8,0,AC BE,YES,144
3.96377,24,P,10,0,AC BE,YES,144
3.96933,18,P,14,0,AC BE,YES,145
3.96933,23,B,0,0,AC BE,YES,145
3.96933,23,B,3,0,AC BE,YES,145
3.96933,24,P,12,0,AC BE,YES,145
3.97501,21,P,15,0,AC BE,YES,146
3.97501,23,B,2,0,AC BE,YES,146
3.97501,23,B,4,0,AC BE,YES,146
3.97501,24,P,1,0,AC BE,YES,146
3.98061,21,P,17,0,AC BE,YES,147
3.98061,22,B,2,0,AC BE,YES,147
3.98061,24,P,20,0,AC BE,YES,147
3.98061,24,P,22,0,AC BE,YES,147
3.98616,18,P,8,0,AC BE,YES,148
3.98616,24,P,24,0,AC BE,YES,148
3.9976,18,P,4,0,AC BE,YES,149
3.9976,18,P,16,0,AC BE,YES,149
3.9976,21,P,7,0,AC BE,YES,149
3.9976,24,P,6,0,AC BE,YES,149
4.00317,24,P,13,0,AC BE,YES,150
4.01078,21,P,16,0,AC BE,YES,151
4.01078,24,P,9,0,AC BE,YES,151
4.01078,24,P,29,0,AC BE,YES,151
4.01664,21,P,18,0,AC BE,YES,152
4.01664,21,P,19,0,AC BE,YES,152
4.01664,24,P,14,0,AC BE,YES,152
4.01664,24,P,18,0,AC BE,YES,152
4.01664,24,P,21,0,AC BE,YES,152
4.02817,18,P,23,0,AC BE,YES,153
4.02817,21,P,6,0,AC BE,YES,153
4.02817,24,P,23,0,AC BE,YES,153
4.03962,24,P,5,0,AC BE,YES,154
4.04521,24,P,28,0,AC BE,YES,155
4.05077,24,P,19,0,AC BE,YES,156
4.05636,26,B,2,0,AC BE,YES,157
4.06193,24,P,15,0,AC BE,YES,158
4.06749,25,B,3,0,AC BE,YES,159
4.06749,26,B,0,0,AC BE,YES,159
4.07307,18,P,0,0,AC BE,YES,160
4.07307,22,B,1,0,AC BE,YES,160
4.07307,27,P,5,0,AC BE,YES,160
4.07307,27,P,8,0,AC BE,YES,160
4.07875,21,P,27,0,AC BE,YES,161
4.07875,27,P,4,0,AC BE,YES,161
4.07875,27,P,11,0,AC BE,YES,161
4.08434,24,P,26,0,AC BE,YES,162
4.08993,21,P,2,0,AC BE,YES,163
4.08993,24,P,17,0,AC BE,YES,163
4.08993,25,B,1,0,AC BE,YES,163
4.09549,27,P,9,0,AC BE,YES,164
4.09549,27,P,21,0,AC BE,YES,164
4.10109,18,P,11,0,AC BE,YES,165
4.10678,27,P,23,0,AC BE,YES,166
4.10678,27,P,24,0,AC BE,YES,166
4.11439,21,P,12,0,AC BE,YES,167
4.11439,22,B,4,0,AC BE,YES,167
4.11439,24,P,27,0,AC BE,YES,167
4.11439,27,P,1,0,AC BE,YES,167
4.11439,27,P,25,0,AC BE,YES,167
4.12008,23,B,1,0,AC BE,YES,168
4.12564,27,P,13,0,AC BE,YES,169
4.12564,28,B,1,0,AC BE,YES,169
4.12564,28,B,3,0,AC BE,YES,169
4.14308,27,P,27,0,AC BE,YES,170
4.15492,21,P,29,0,AC BE,YES,171
4.15492,27,P,10,0,AC BE,YES,171
4.16618,27,P,0,0,AC BE,YES,172
4.17183,24,P,16,0,AC BE,YES,173
4.18327,24,P,11,0,AC BE,YES,174
4.18327,27,P,16,0,AC BE,YES,174
4.18327,28,B,2,0,AC BE,YES,174
4.18892,27,P,14,0,AC BE,YES,175
4.18892,27,P,28,0,AC BE,YES,175
4.18892,30,P,0,0,AC BE,YES,175
4.18892,30,P,4,0,AC BE,YES,175
4.19458,27,P,2,0,AC BE,YES,176
4.19458,27,P,7,0,AC BE,YES,176
4.19458,29,B,2,0,AC BE,YES,176
4.20601,21,P,23,0,AC BE,YES,177
4.20601,30,P,12,0,AC BE,YES,177
4.21388,30,P,8,0,AC BE,YES,178
4.21949,25,B,2,0,AC BE,YES,179
4.21949,30,P,15,0,AC BE,YES,179
4.21949,30,P,16,0,AC BE,YES,179
4.22513,27,P,20,0,AC BE,YES,180
4.22513,30,P,10,0,AC BE,YES,180
4.2308,24,P,7,0,AC BE,YES,181
4.2308,30,P,21,0,AC BE,YES,181
4.23648,24,P,25,0,AC BE,YES,182
4.2479,25,B,0,0,AC BE,YES,183
4.2479,26,B,4,0,AC BE,YES,183
4.25349,27,P,12,0,AC BE,YES,184
4.2591,25,B,4,0,AC BE,YES,185
4.2591,27,P,6,0,AC BE,YES,185
4.2591,29,B,0,0,AC BE,YES,185
4.2591,30,P,20,0,AC BE,YES,185
4.26473,31,B,1,0,AC BE,YES,186
4.27032,26,B,1,0,AC BE,YES,187
4.27032,29,B,3,0,AC BE,YES,187
4.27032,30,P,24,0,AC BE,YES,187
4.27032,30,P,25,0,AC BE,YES,187
4.27587,24,P,0,0,AC BE,YES,188
4.27587,30,P,14,0,AC BE,YES,188
4.28153,30,P,1,0,AC BE,YES,189
4.28153,30,P,18,0,AC BE,YES,189
4.28153,30,P,27,0,AC BE,YES,189
4.28717,29,B,1,0,AC BE,YES,190
4.29276,30,P,6,0,AC BE,YES,191
4.29276,32,B,2,0,AC BE,YES,191
4.30449,27,P,3,0,AC BE,YES,192
4.30449,32,B,3,0,AC BE,YES,192
4.30449,33,P,0,0,AC BE,YES,192
4.31008,26,B,3,0,AC BE,YES,193
4.31008,30,P,2,0,AC BE,YES,193
4.31008,33,P,1,0,AC BE,YES,193
4.31766,33,P,3,0,AC BE,YES,194
4.31766,33,P,6,0,AC BE,YES,194
4.31766,33,P,10,0,AC BE,YES,194
4.32331,28,B,0,0,AC BE,YES,195
4.32331,30,P,13,0,AC BE,YES,195
4.32331,32,B,0,0,AC BE,YES,195
4.32331,33,P,7,0,AC BE,YES,195
4.33473,27,P,18,0,AC BE,YES,196
4.33473,33,P,15,0,AC BE,YES,196
4.34037,31,B,3,0,AC BE,YES,197
4.34037,32,B,1,0,AC BE,YES,197
4.34037,33,P,4,0,AC BE,YES,197
4.34037,33,P,19,0,AC BE,YES,197
4.35166,27,P,15,0,AC BE,YES,198
4.35734,33,P,14,0,AC BE,YES,199
4.35734,33,P,17,0,AC BE,YES,199
4.36295,30,P,11,0,AC BE,YES,200
4.36295,33,P,21,0,AC BE,YES,200
4.36295,33,P,26,0,AC BE,YES,200
4.3685,33,P,9,0,AC BE,YES,201
4.37406,27,P,22,0,AC BE,YES,202
4.37972,30,P,3,0,AC BE,YES,203
4.38533,30,P,23,0,AC BE,YES,204
4.39683,30,P,28,0,AC BE,YES,205
4.39683,33,P,24,0,AC BE,YES,205
4.40251,30,P,29,0,AC BE,YES,206
4.40251,34,B,3,0,AC BE,YES,206
4.4083,33,P,25,0,AC BE,YES,207
4.41399,30,P,9,0,AC BE,YES,208
4.41399,30,P,26,0,AC BE,YES,208
4.41399,33,P,12,0,AC BE,YES,208
4.41399,33,P,23,0,AC BE,YES,208
4.42161,34,B,4,0,AC BE,YES,209
4.42717,30,P,7,0,AC BE,YES,210
4.42717,30,P,19,0,AC BE,YES,210
4.42717,31,B,2,0,AC BE,YES,210
4.42717,32,B,4,0,AC BE,YES,210
4.42717,34,B,2,0,AC BE,YES,210
4.42717,35,B,2,0,AC BE,YES,210
4.43275,35,B,4,0,AC BE,YES,211
4.43837,33,P,18,0,AC BE,YES,212
4.43837,34,B,0,0,AC BE,YES,212
4.43837,36,P,7,0,AC BE,YES,212
4.44424,31,B,4,0,AC BE,YES,213
4.44424,34,B,1,0,AC BE,YES,213
4.44424,35,B,0,0,AC BE,YES,213
