Uid,FrameId,FrameType,PacketIndex,TotalPackets,TxApp,TxMac,TxPhy,RxPhy,RxApp,LatencyApp,LatencyPhy,Tid,Ac,IsAmpdu,AmpduRef
3654,141,1,27,30,7.66327,0,0,0,0,-7663,0,0,0,0,0
3653,141,1,26,30,7.66326,0,0,0,0,-7663,0,0,0,0,0
3651,141,1,24,30,7.66324,0,0,0,0,-7663,0,0,0,0,0
3650,141,1,23,30,7.66323,0,0,0,0,-7663,0,0,0,0,0
3648,141,1,21,30,7.66321,0,0,0,0,-7663,0,0,0,0,0
3647,141,1,20,30,7.6632,0,0,0,0,-7663,0,0,0,0,0
3640,141,1,13,30,7.66313,0,0,0,0,-7663,0,0,0,0,0
3639,141,1,12,30,7.66312,0,0,0,0,-7663,0,0,0,0,0
3637,141,1,10,30,7.6631,0,0,0,0,-7663,0,0,0,0,0
3636,141,1,9,30,7.66309,0,0,0,0,-7663,0,0,0,0,0
