PhyRxTime,FrameID,FrameType,PacketIndex,TID,AccessCategory,IsAMPDU,AMPDURefNum
7.3236,120,I,43,7,AC VO,YES,213
7.32725,120,I,44,7,AC VO,YES,214
7.32804,120,I,45,7,AC VO,YES,215
7.33407,120,I,46,7,AC VO,YES,216
7.34155,120,I,47,7,AC VO,YES,217
7.34398,120,I,48,7,AC VO,YES,218
7.35449,120,I,49,7,AC VO,YES,219
7.4628,121,B,0,3,AC BE,YES,220
7.46526,121,B,1,3,AC BE,YES,221
7.4656,121,B,2,3,AC BE,YES,222
7.50926,122,B,0,3,AC BE,YES,223
7.54354,123,P,0,3,AC BE,YES,224
7.54476,123,P,1,3,AC BE,YES,225
7.66428,126,P,0,3,AC BE,YES,226
7.84186,132,P,0,3,AC BE,YES,227
7.84351,132,P,1,3,AC BE,YES,228
7.84483,132,P,2,3,AC BE,YES,229
7.84511,132,P,3,3,AC BE,YES,230
7.85726,132,P,4,3,AC BE,YES,231
7.91243,134,B,0,3,AC BE,YES,232
7.92445,134,B,1,3,AC BE,YES,233
7.96366,135,P,0,3,AC BE,YES,234
8.02027,137,B,0,3,AC BE,YES,235
8.08875,139,B,0,3,AC BE,YES,236
8.1202,140,B,0,3,AC BE,YES,237
8.23752,144,P,0,3,AC BE,YES,238
8.47441,151,B,0,3,AC BE,YES,239
8.54109,153,P,0,3,AC BE,YES,240
8.62372,155,B,0,3,AC BE,YES,241
8.66629,157,B,0,3,AC BE,YES,242
8.7222,158,B,0,3,AC BE,YES,243
8.75867,160,B,0,3,AC BE,YES,244
8.81002,161,B,0,3,AC BE,YES,245
8.86226,163,B,0,3,AC BE,YES,246
8.95152,180,I,0,7,AC VO,YES,247
8.95696,180,I,1,7,AC VO,YES,248
8.96119,180,I,2,7,AC VO,YES,249
8.96426,180,I,3,7,AC VO,YES,250
8.96585,180,I,4,7,AC VO,YES,251
8.9676,180,I,5,7,AC VO,YES,252
8.97236,180,I,6,7,AC VO,YES,253
8.97658,180,I,7,7,AC VO,YES,254
8.97873,180,I,8,7,AC VO,YES,255
8.97951,180,I,9,7,AC VO,YES,256
8.98209,180,I,10,7,AC VO,YES,257
8.98583,180,I,11,7,AC VO,YES,258
8.99541,180,I,12,7,AC VO,YES,259
9.01169,180,I,13,7,AC VO,YES,260
9.04074,180,I,14,7,AC VO,YES,261
9.04099,180,I,15,7,AC VO,YES,262
9.04178,180,I,16,7,AC VO,YES,263
9.04203,180,I,17,7,AC VO,YES,264
9.06272,180,I,18,7,AC VO,YES,265
9.11134,180,I,19,7,AC VO,YES,266
9.14248,180,I,20,7,AC VO,YES,267
9.15635,180,I,21,7,AC VO,YES,268
9.15714,180,I,22,7,AC VO,YES,269
9.15739,180,I,23,7,AC VO,YES,270
9.1611,180,I,24,7,AC VO,YES,271
9.16323,180,I,25,7,AC VO,YES,272
9.16455,180,I,26,7,AC VO,YES,273
9.17932,180,I,27,7,AC VO,YES,274
9.18272,180,I,28,7,AC VO,YES,275
9.19278,180,I,29,7,AC VO,YES,276
9.1933,180,I,30,7,AC VO,YES,277
9.20222,180,I,31,7,AC VO,YES,278
9.20891,180,I,32,7,AC VO,YES,279
9.2097,180,I,33,7,AC VO,YES,280
9.22643,180,I,34,7,AC VO,YES,281
9.24076,180,I,35,7,AC VO,YES,282
9.24155,180,I,36,7,AC VO,YES,283
9.2435,180,I,37,7,AC VO,YES,284
9.24482,180,I,38,7,AC VO,YES,285
9.24686,180,I,39,7,AC VO,YES,286
9.25087,180,I,40,7,AC VO,YES,287
9.2568,180,I,41,7,AC VO,YES,288
9.27801,180,I,42,7,AC VO,YES,289
9.27826,180,I,43,7,AC VO,YES,290
9.27851,180,I,44,7,AC VO,YES,291
9.27957,180,I,45,7,AC VO,YES,292
9.30077,180,I,46,7,AC VO,YES,293
9.30531,180,I,47,7,AC VO,YES,294
9.31244,180,I,48,7,AC VO,YES,295
9.31322,180,I,49,7,AC VO,YES,296
9.31791,176,B,0,3,AC BE,YES,297
9.44328,181,B,0,3,AC BE,YES,298
9.53984,183,P,0,3,AC BE,YES,299
9.61038,185,B,0,3,AC BE,YES,300
9.69782,188,B,0,3,AC BE,YES,301
9.79644,191,B,0,3,AC BE,YES,302
9.85052,193,B,0,3,AC BE,YES,303
10.0767,199,B,0,3,AC BE,YES,304
10.1327,201,P,0,3,AC BE,YES,306
10.2398,204,P,0,3,AC BE,YES,307
10.2508,205,B,0,3,AC BE,YES,308
10.2627,205,B,1,3,AC BE,YES,309
10.2889,206,B,0,3,AC BE,YES,310
10.3462,208,B,0,3,AC BE,YES,311
10.3471,208,B,1,3,AC BE,YES,312
10.4665,211,B,0,3,AC BE,YES,313
10.4761,0,I,0,0,AC BE,NO,0
10.4874,0,I,0,0,AC BE,YES,314
